300 3
1 1 3 
10 13 1
20 0 1
20 23 2
3 6 1
12 14 3
0 2 2
18 19 3
21 0 3
5 9 1
6 9 1
15 20 2
12 16 3
19 21 1
3 7 1
12 14 3
22 0 1
14 16 2
8 12 3
22 1 1
16 20 1
4 7 3
10 14 2
15 17 2
3 5 1
2 4 3
10 13 3
18 21 2
22 2 2
2 5 1
2 6 1
14 19 2
11 12 1
16 18 1
13 16 2
10 12 1
0 0 3
18 21 1
21 22 3
21 2 3
10 13 1
18 19 2
9 13 1
14 16 3
21 23 2
21 0 3
16 21 2
9 12 2
16 19 1
15 18 1
7 11 2
7 10 3
17 20 2
19 22 1
17 21 2
12 15 1
22 2 3
10 12 3
17 19 1
0 4 3
11 15 3
7 9 3
6 11 2
19 20 3
9 13 3
10 13 1
9 11 3
9 13 3
4 6 3
15 18 1
17 20 3
5 8 1
11 15 2
14 18 1
11 15 1
22 0 3
23 1 1
19 22 1
16 18 2
9 11 3
21 0 2
1 6 2
14 17 3
22 2 2
17 18 1
1 4 1
7 11 2
2 5 1
11 16 3
7 11 3
11 13 1
5 9 3
9 12 3
1 4 2
20 23 3
20 23 1
5 9 1
17 19 2
17 20 1
17 19 2
5 7 3
22 1 3
18 21 3
15 17 1
7 10 2
4 7 1
13 15 3
8 12 2
15 20 3
8 12 3
18 22 3
7 11 1
18 22 1
17 18 1
10 12 2
11 13 3
10 13 2
20 0 3
20 23 2
19 22 1
12 15 2
23 3 2
15 18 3
13 14 1
8 12 2
20 1 1
12 15 1
18 21 2
21 0 2
10 12 2
12 16 2
15 19 2
3 6 1
11 13 2
11 14 1
14 19 2
3 7 1
3 7 3
9 13 1
8 11 3
18 21 2
21 1 2
1 3 3
16 19 3
23 1 1
11 13 1
18 20 3
20 22 3
7 9 2
6 9 3
6 9 3
14 18 1
17 20 3
3 7 1
17 18 2
1 2 1
19 21 1
6 8 1
12 14 3
10 11 3
14 16 1
12 15 1
6 8 2
3 6 1
21 1 3
6 9 1
22 1 2
17 20 2
9 12 1
11 14 1
19 23 3
8 10 1
2 5 3
5 8 3
17 19 1
5 9 2
4 8 1
23 4 1
9 11 3
9 12 3
13 18 3
2 5 3
23 3 2
13 18 1
18 19 3
13 17 3
15 18 1
9 12 3
18 20 1
6 8 2
8 11 3
17 19 2
13 16 2
22 2 1
5 8 3
13 17 1
18 22 1
2 5 1
6 7 1
20 23 3
21 1 2
3 6 1
4 7 2
7 9 1
15 19 3
5 8 3
11 12 2
6 8 1
10 12 3
11 11 3
4 7 3
12 15 1
21 1 2
0 2 3
15 19 2
22 1 3
7 12 3
12 15 3
6 8 2
19 0 1
22 2 3
6 10 1
5 8 1
12 15 2
17 18 1
19 21 2
21 23 1
10 13 3
8 11 2
5 9 3
23 1 2
23 1 2
17 20 2
8 12 2
17 20 1
2 4 3
11 15 3
6 9 1
23 2 1
12 14 1
0 3 2
13 15 3
7 10 1
15 18 1
21 1 2
17 20 2
4 8 3
12 13 2
12 16 2
11 16 3
15 17 3
19 22 2
3 6 2
21 0 3
5 7 3
23 3 2
2 6 3
15 17 3
8 11 1
18 21 2
21 2 3
21 1 3
22 1 3
23 2 1
2 5 2
4 6 3
22 2 1
5 8 3
12 16 1
8 10 3
1 4 3
19 22 1
15 16 3
3 5 1
1 5 1
7 8 3
21 0 3
6 9 1
7 11 2
23 1 1
6 8 3
5 6 1
3 6 3
18 21 2
14 16 1
9 13 1
12 15 1
16 18 1
6 9 2
0 2 3
6 9 3
18 19 1
15 18 1
11 14 2
2 6 2
19 22 2
22 0 1
13 17 1
13 15 1
3 7 3
15 19 3
