200 3
2 1 1 
5 9 1
21 0 1
20 0 3
20 23 1
1 4 3
22 2 3
0 3 1
19 21 3
4 6 1
3 7 3
21 0 2
1 3 3
16 19 2
10 12 1
1 3 1
11 15 1
1 4 2
20 23 3
7 10 1
6 10 3
15 16 3
5 8 2
9 12 2
20 23 3
18 21 2
8 12 1
7 10 2
2 5 3
13 15 2
7 7 1
9 11 1
14 16 3
23 2 1
7 9 1
5 9 3
4 8 2
20 22 3
9 11 1
14 18 2
14 16 3
4 7 3
16 17 1
20 22 2
23 3 1
13 15 3
21 0 1
11 14 2
8 11 1
20 23 3
19 0 1
1 5 3
23 3 1
9 12 1
19 20 1
13 16 2
7 11 2
2 6 2
12 14 1
9 13 2
8 10 1
0 2 3
4 7 1
10 14 3
5 7 2
0 3 3
17 21 1
7 11 3
12 16 3
19 23 1
1 4 1
14 17 2
17 20 3
1 4 2
13 17 3
19 23 1
3 6 3
16 19 2
1 4 1
18 21 3
1 3 3
6 8 2
18 21 2
23 1 2
22 23 3
7 11 2
19 22 3
23 2 2
14 17 3
18 22 1
4 7 3
17 21 1
17 19 1
16 18 3
16 21 2
20 23 3
12 16 1
0 2 2
17 20 1
17 19 2
10 13 3
1 5 3
6 8 2
12 16 2
5 8 1
5 10 1
22 2 2
15 18 3
21 0 2
6 10 2
21 23 3
6 10 2
16 18 1
17 18 1
9 12 3
12 15 1
17 20 1
15 17 2
15 18 1
18 21 2
2 4 3
14 17 2
7 11 1
6 10 1
9 12 3
9 11 3
7 9 1
14 17 1
5 8 3
23 2 1
5 9 2
6 9 2
21 1 2
11 14 2
15 20 2
17 21 2
14 16 1
17 20 3
21 23 2
23 2 1
12 17 3
12 14 3
22 2 3
6 9 3
8 10 1
3 7 3
19 23 2
21 23 1
14 15 1
11 17 1
6 9 1
3 5 2
7 9 2
7 9 3
20 0 3
18 20 3
2 6 1
19 23 1
19 0 2
8 12 1
17 22 1
14 16 1
9 12 3
9 14 3
2 5 3
22 2 2
22 1 2
5 8 1
7 12 3
5 8 3
12 14 1
6 9 1
15 17 2
15 17 2
9 12 2
8 8 3
21 2 1
11 14 2
6 8 2
14 17 2
12 13 3
15 18 1
4 8 2
3 3 2
9 12 3
20 0 3
0 4 3
15 18 1
16 19 1
10 14 3
16 20 1
8 10 2
23 3 2
9 12 2
10 14 2
13 16 2
23 1 1
20 23 2
6 10 1
11 14 1
4 7 1
