300 2
1 2 
4 5 1
0 3 1
20 22 2
19 22 1
4 6 2
4 6 1
6 9 1
0 3 2
14 17 2
1 5 1
20 0 2
4 7 1
21 2 2
2 6 1
23 1 2
11 14 2
11 15 2
5 7 1
8 11 2
23 2 2
18 22 2
23 3 1
8 11 2
10 14 1
5 8 1
2 6 1
3 6 1
11 12 1
2 7 2
22 0 1
8 14 2
3 5 1
9 12 1
18 20 2
5 8 1
10 14 1
9 11 1
8 10 2
7 12 1
6 10 1
18 21 2
19 21 1
6 7 1
15 17 2
4 6 1
17 20 2
12 15 1
16 18 2
1 5 2
7 10 2
19 21 1
17 18 1
14 18 1
13 17 1
14 19 2
13 15 2
9 11 1
16 20 1
7 11 1
5 9 1
13 15 1
0 3 2
17 21 1
18 21 2
13 16 2
3 6 2
9 11 2
5 9 1
2 6 2
3 5 2
3 7 2
11 14 2
17 19 2
10 15 2
15 18 2
14 18 1
14 17 2
3 6 1
12 17 1
1 5 1
8 9 1
8 10 1
2 6 2
12 16 1
2 5 2
8 11 2
6 10 1
0 1 1
9 11 2
20 23 2
20 23 1
9 12 2
8 10 1
20 23 1
7 8 2
4 6 2
23 2 2
7 9 1
21 0 2
15 19 2
21 0 1
0 3 2
4 7 1
12 16 1
13 18 2
5 8 1
19 22 2
4 8 2
18 20 1
5 10 1
16 20 2
21 23 1
23 1 2
4 5 2
16 18 1
20 22 2
13 17 1
1 4 2
17 21 2
8 13 2
15 17 1
21 0 1
7 9 2
15 20 2
19 22 2
23 2 2
21 0 1
16 19 2
19 22 2
8 12 1
13 16 2
20 22 1
20 23 1
14 17 1
13 14 1
14 17 2
22 0 2
23 1 2
14 17 1
5 8 2
1 6 1
7 9 1
16 20 1
21 0 1
19 0 2
11 15 2
3 6 2
20 23 2
2 5 1
5 8 1
9 13 1
8 11 1
6 8 2
11 16 2
16 19 1
21 1 1
17 19 2
7 7 1
8 12 1
12 12 1
12 17 1
0 4 2
6 10 2
19 23 1
8 12 2
8 11 2
18 23 1
8 10 1
10 13 1
21 0 1
19 21 2
2 4 2
6 9 1
9 13 2
18 20 1
2 5 2
5 8 2
2 6 1
1 5 1
16 18 1
3 5 2
15 18 2
18 21 2
19 22 1
23 1 1
19 23 1
12 16 2
11 15 1
8 11 1
23 3 1
8 12 2
23 3 2
14 16 2
0 3 2
20 23 2
23 2 2
16 19 2
19 21 1
0 1 1
3 6 1
7 10 1
5 9 1
22 22 2
1 2 1
22 2 2
11 15 1
1 2 2
12 15 1
7 11 2
18 20 1
1 5 1
20 23 2
10 12 2
14 17 1
13 15 2
1 4 1
2 4 2
22 1 1
15 19 1
0 5 1
8 10 2
4 7 2
23 1 1
3 7 2
16 18 1
1 5 1
5 8 2
0 4 1
6 9 1
17 19 1
9 11 2
3 5 2
10 13 1
15 19 1
9 12 2
20 23 1
15 19 2
9 11 2
21 1 1
8 11 2
17 20 1
1 4 2
3 6 1
20 1 2
2 6 1
14 16 2
17 19 2
14 17 1
9 13 2
9 12 2
7 10 1
5 6 1
20 23 2
5 6 2
6 9 1
1 6 1
19 23 1
23 4 1
22 0 2
2 5 1
16 18 1
23 1 2
0 2 1
22 1 1
16 17 1
19 23 2
17 21 2
5 7 1
22 1 2
11 13 1
10 14 1
11 13 1
1 5 1
21 1 2
9 12 1
7 9 2
17 20 2
4 8 2
20 0 1
15 17 2
11 13 1
2 6 1
22 2 1
21 0 2
16 20 1
12 14 1
11 14 2
16 18 2
11 15 2
23 2 2
6 8 2
11 14 2
4 8 2
20 23 1
12 16 1
3 7 1
16 19 1
19 22 1
23 2 1
16 20 1
