100 2
1 2 
17 20 1
15 18 2
9 12 2
3 8 1
11 14 1
1 4 1
19 23 2
10 12 2
23 2 1
14 16 2
9 11 1
0 5 2
4 7 1
14 17 2
8 11 2
22 1 2
12 16 1
1 3 1
21 21 1
3 6 2
1 4 2
10 12 1
20 23 1
4 7 2
9 11 2
20 23 1
8 10 2
6 9 1
4 6 1
16 20 2
19 21 2
16 20 2
17 19 1
15 18 2
17 21 2
12 13 2
22 1 1
1 5 2
10 12 2
17 20 2
22 2 1
6 9 2
2 5 1
15 18 2
2 5 2
11 14 2
15 17 1
14 18 2
20 22 2
9 11 1
21 0 2
18 22 2
6 10 2
16 18 1
17 21 1
21 23 1
5 9 2
8 11 2
16 20 1
21 0 2
8 12 2
8 9 2
14 16 2
2 4 2
19 23 1
10 13 1
11 14 1
11 15 1
4 7 2
22 23 2
11 16 2
12 16 1
18 21 2
0 4 2
1 5 1
17 21 1
12 16 2
5 10 2
9 12 1
4 7 2
22 3 1
10 12 1
18 21 1
11 14 2
23 3 2
7 8 1
0 4 1
16 18 2
22 1 2
12 15 1
7 10 1
1 3 2
14 17 1
13 16 1
17 19 2
22 1 1
13 16 2
5 9 1
20 22 1
8 12 1
