1000 2
2 1 
10 14 2
17 20 1
20 22 1
20 23 2
14 17 1
11 14 1
8 11 1
8 11 1
23 2 1
5 8 1
21 1 1
3 6 2
16 18 1
3 3 1
22 3 2
6 8 2
2 6 2
19 0 1
1 4 1
13 15 1
11 15 1
4 7 2
13 17 2
3 3 2
10 12 2
5 8 1
10 12 2
8 11 2
6 9 1
19 22 2
4 7 1
20 22 1
4 7 1
13 15 2
17 22 2
13 15 1
11 13 2
19 22 1
23 2 2
20 0 2
11 14 1
3 6 1
16 19 2
20 23 1
11 14 1
20 22 2
1 4 2
11 15 1
6 10 1
8 11 1
12 15 2
23 2 2
5 8 2
9 11 1
9 13 1
7 9 2
17 19 1
21 0 1
2 5 1
16 20 2
19 22 2
20 22 2
12 15 1
5 7 1
22 2 1
20 23 2
1 3 2
3 6 1
12 15 1
0 3 1
15 18 1
15 18 1
6 8 2
14 17 1
18 21 2
20 22 2
16 18 1
1 5 2
9 13 2
22 4 1
7 11 1
2 5 2
1 4 2
17 21 1
10 14 1
11 13 2
8 11 2
5 9 1
3 4 2
21 23 1
15 17 2
14 17 1
11 15 1
12 15 2
8 11 1
5 7 1
23 1 2
14 16 2
12 17 2
5 8 1
13 17 1
20 22 2
7 10 1
10 12 2
20 23 1
7 12 2
11 15 1
18 23 2
0 3 2
3 8 1
10 11 1
7 10 2
16 18 2
13 17 1
18 22 1
17 21 1
4 7 2
15 17 2
8 10 1
9 12 1
15 18 2
8 11 1
17 21 1
17 19 1
14 18 1
12 16 2
21 1 2
16 19 1
8 10 1
8 12 2
6 11 1
23 1 1
19 21 2
13 16 1
19 22 2
16 18 2
2 2 2
8 10 2
2 5 1
17 19 2
18 21 1
4 8 2
0 3 2
22 0 1
16 19 1
4 6 1
17 22 1
2 6 1
21 1 2
17 20 1
14 16 1
0 5 1
1 5 1
23 3 1
5 7 2
6 8 1
22 1 2
22 1 2
16 20 2
2 4 1
23 3 2
8 11 2
5 7 2
17 19 1
16 19 2
2 5 2
17 20 1
11 15 1
1 3 1
22 1 1
13 15 2
9 12 1
22 0 1
16 19 2
19 22 2
9 13 1
19 23 1
16 18 2
10 13 1
18 21 2
15 19 1
1 4 1
12 15 1
22 2 2
4 7 2
20 23 1
15 18 1
3 5 1
15 18 2
