100 3
3 2 3 
13 19 2
12 16 2
7 11 1
14 18 2
2 6 1
7 9 2
14 16 2
5 9 2
18 20 2
22 1 1
14 16 3
10 14 3
19 22 3
7 9 3
2 6 1
2 4 1
18 21 2
13 16 2
16 18 3
14 17 2
1 7 1
9 12 1
16 20 1
18 21 3
18 23 1
8 9 3
0 4 1
6 11 2
3 7 2
11 15 3
9 13 1
19 22 3
18 20 3
21 23 3
5 7 1
19 20 3
13 17 3
23 2 1
5 8 2
13 16 3
0 3 1
5 8 1
20 22 3
11 14 2
18 22 3
0 3 3
10 16 1
16 19 2
11 12 3
5 7 1
20 0 1
2 6 3
17 21 3
15 19 1
17 20 2
3 7 3
13 17 2
22 0 1
11 13 1
2 5 2
18 21 1
3 7 3
15 16 3
17 21 3
10 12 3
5 7 1
13 17 2
13 15 1
0 4 1
19 21 1
16 20 2
21 23 1
13 15 2
3 7 2
11 15 2
17 19 3
21 2 2
12 15 1
3 6 1
23 1 3
16 20 1
12 16 3
17 20 3
0 4 1
17 19 2
2 6 3
14 19 2
21 0 3
16 19 1
1 6 3
2 6 3
21 1 1
23 4 3
8 11 3
11 14 1
7 10 1
16 19 3
13 16 3
15 17 3
14 17 1
