500 2
2 2 
22 1 1
23 1 1
21 23 2
16 19 2
15 17 1
12 16 1
10 13 2
7 9 1
21 0 1
17 20 1
15 18 1
12 16 1
14 17 1
15 17 2
6 9 1
0 4 2
23 3 1
4 7 1
4 6 2
11 14 1
17 20 1
1 4 2
6 8 2
3 6 2
18 21 2
10 13 2
4 7 2
20 22 1
2 4 2
22 2 2
18 20 1
16 21 2
5 7 2
22 2 2
0 2 1
12 14 2
12 15 1
13 16 1
23 2 1
18 21 1
4 7 2
14 17 2
17 20 1
9 14 1
22 0 2
5 11 1
16 21 2
22 1 1
9 11 2
7 10 1
18 18 2
20 0 1
12 14 2
17 19 2
8 13 2
10 13 1
4 6 1
3 6 1
20 1 2
19 22 1
4 7 1
21 0 1
0 3 2
3 5 2
14 18 1
20 23 2
2 3 1
6 9 2
7 11 2
21 0 2
16 18 1
12 15 1
22 1 2
15 19 2
7 10 1
12 15 1
9 13 2
6 11 2
9 11 1
13 15 2
22 1 2
13 16 2
22 2 1
23 1 1
11 14 2
19 22 1
11 14 2
18 20 2
0 2 1
4 7 2
20 22 2
15 18 1
7 11 2
21 23 1
9 13 2
18 21 1
16 19 2
0 3 2
12 15 1
22 0 1
18 21 1
22 0 2
15 19 1
1 3 2
4 7 1
4 8 2
20 22 2
8 11 1
19 22 1
16 18 1
10 13 2
7 8 1
13 15 1
1 3 1
19 22 2
1 5 1
23 3 1
14 17 2
2 5 2
23 1 2
5 7 1
0 2 2
23 2 1
5 8 2
12 13 2
2 4 1
4 8 1
10 14 2
9 12 1
2 5 1
0 2 1
5 9 2
21 0 2
0 4 1
19 21 2
1 3 2
19 22 1
13 16 1
17 20 2
0 2 2
10 14 1
18 21 1
1 4 1
8 10 1
15 18 2
21 0 1
14 17 1
22 1 1
8 13 2
23 1 1
20 21 2
23 0 2
11 14 1
7 11 2
22 0 1
20 0 2
0 4 2
10 12 2
2 5 2
8 10 1
1 3 2
17 21 1
7 7 2
8 13 2
15 18 1
20 21 2
12 16 1
7 10 1
5 7 1
11 14 2
4 6 1
3 7 2
8 11 1
9 13 2
18 20 1
4 7 2
4 6 1
22 23 2
5 9 2
2 4 1
11 12 2
19 21 1
16 18 2
16 18 1
1 3 1
21 23 1
13 16 2
7 10 1
4 6 1
14 18 2
9 12 1
3 7 1
12 15 2
11 13 1
9 10 2
22 3 1
4 8 2
6 9 2
8 9 2
8 12 1
5 9 2
2 6 1
9 10 2
18 21 2
1 4 1
18 22 2
11 14 2
1 4 2
9 12 1
19 21 1
12 15 1
8 12 1
21 0 1
3 7 1
20 23 1
15 19 2
0 3 1
4 7 2
4 7 2
22 1 2
14 16 1
6 9 2
18 20 1
21 0 1
4 9 1
1 5 1
2 6 1
10 13 1
17 20 1
1 5 2
11 14 1
5 8 1
22 1 2
6 8 2
12 13 2
19 23 1
11 13 2
19 23 2
4 6 2
0 3 1
5 9 2
23 4 2
17 21 2
2 6 1
19 23 2
4 8 2
2 4 2
13 16 2
2 5 1
8 9 1
4 8 1
10 13 2
1 4 1
7 10 2
6 9 2
21 0 1
9 11 1
11 14 1
18 21 2
1 3 1
15 19 1
9 12 1
19 21 1
4 6 2
5 6 2
7 11 2
22 1 2
13 17 1
18 21 1
11 15 1
20 0 1
21 23 1
1 7 1
9 11 1
18 20 1
8 11 2
8 10 2
3 6 1
5 8 1
14 19 2
12 14 1
5 9 1
0 3 1
0 2 1
1 6 1
9 10 2
6 8 2
3 7 2
10 12 1
10 12 2
15 19 1
18 21 1
17 20 1
6 7 1
22 1 1
0 4 1
2 5 2
21 1 2
5 8 1
8 10 2
8 11 2
4 5 2
0 4 2
9 12 1
5 6 1
6 10 1
12 15 1
0 2 2
9 12 2
8 12 1
1 4 2
6 9 1
14 17 2
1 4 2
